KA35AP	55.68204	-4.51552
KA35BX	55.67832	-4.51843
KA35HD	55.68205	-4.51326
KA36JT	55.60320	-4.45672
KA37AA	55.60957	-4.49296
KA37PH	55.61943	-4.47144
KA37PR	55.61769	-4.47559
KA55BU	55.51539	-4.38101
KA55BZ	55.51604	-4.37983
KA55DA	55.51586	-4.37945
KA56LT	55.49989	-4.32625
KA66DF	55.39660	-4.59274
KA67AL	55.43578	-4.46218
KA67BZ	55.43164	-4.46003
KA67HB	55.40044	-4.44760
KA67QN	55.32417	-4.39719
KY146DA	56.35088	-3.24019
KY147SY	56.26908	-3.31722
KY155EQ	56.31758	-3.01410
KY91LS	56.22019	-2.84692
L203EN	53.44944	-2.98964
L204RW	53.45793	-3.00678
L205AE	53.45647	-2.99156
L206AD	53.46212	-2.98005
L206EX	53.46660	-2.97578
L207AP	53.44895	-2.99240
L207DH	53.44401	-2.99038
L207EJ	53.44568	-2.99042
L211EZ	53.47087	-3.01543
L218NS	53.46390	-2.99796
L220LG	53.47523	-3.02150
L221RD	53.47219	-3.02349
L225PE	53.47423	-3.02789
L235SE	53.49113	-3.02467
L300QS	53.49368	-2.97930
L301NY	53.47171	-2.96248
L301QW	53.47784	-2.97083
L303TL	53.49005	-2.97733
L305RD	53.48661	-2.97047
L317AG	53.50556	-2.94648
L317BB	53.50723	-2.94519
L373HA	53.55774	-3.06550
L373NG	53.56017	-3.05701
L374AN	53.55404	-3.06685
LA11HY	54.04920	-2.80154
LA12JH	54.06332	-2.80121
LA12LN	54.05710	-2.80265
LA13EA	54.04621	-2.78857
LA13HR	54.05532	-2.78696
LA13PY	54.04840	-2.79179
LA14AH	54.03789	-2.78758
LA14ER	54.03338	-2.78781
LA14TE	54.03607	-2.79568
LA15JR	54.05629	-2.82802
LA15PP	54.05007	-2.81437
LA26NB	54.07720	-2.75998
LA26ND	54.07589	-2.75580
LA26QE	54.08015	-2.75823
LA31UP	54.06262	-2.88636
LA31UT	54.06130	-2.88322
LA32BJ	54.04842	-2.89244
LA45DH	54.07184	-2.86568
LA45DL	54.07123	-2.86544
LA46LT	54.06429	-2.83246
LA50RA	54.16843	-2.82692
LA58DN	54.10329	-2.79089
LA58DW	54.10506	-2.78950
LA59DZ	54.12633	-2.77118
LA59SL	54.16711	-2.75676
LA59SU	54.17044	-2.76208
LE100EQ	52.55222	-1.37492
LE100EZ	52.55020	-1.39120
LE100LQ	52.54087	-1.37750
LE100NF	52.53541	-1.40375
LE100XD	52.54503	-1.38818
LE101BZ	52.54037	-1.36963
LE101DW	52.54142	-1.37061
LE101EX	52.54315	-1.36182
LE101PR	52.54297	-1.37030
LE102TP	52.53912	-1.35688
LE169RU	52.42732	-0.95323
LE60DQ	52.66215	-1.22134
LE60FE	52.66128	-1.22754
LE60JF	52.64878	-1.24233
LE60JQ	52.64532	-1.24122
LE60LN	52.64922	-1.24498
LE671AH	52.66617	-1.31412
LE679TQ	52.68835	-1.31111
LE679UU	52.68543	-1.27859
LE679WG	52.68397	-1.27737
LE97AW	52.57882	-1.30329
LE97BP	52.57392	-1.30979
LE97ND	52.57572	-1.31801
LE99GE	52.62787	-1.29713
LE99JP	52.62633	-1.29451
LE99NN	52.62922	-1.34356
LE99NP	52.62956	-1.33938
LE99PT	52.63080	-1.34137
LL182AB	53.31433	-3.49412
LL185BT	53.31158	-3.51576
LL219TF	53.02563	-3.56105
LL227BP	53.28464	-3.58621
LL237BD	52.91527	-3.59839
LL237RU	52.91309	-3.59693
LL237UW	52.91432	-3.60392
LL260DF	53.14005	-3.80095
LL297DH	53.29433	-3.72902
LL302RP	53.32359	-3.82928
LL303HN	53.31519	-3.77037
LL328NU	53.28191	-3.83204
LL330AA	53.25278	-3.97510
LL346DA	53.26788	-3.92264
LL350NR	52.54466	-4.05182
LL369BS	52.58731	-4.08621
LL369HA	52.58591	-4.08778
LL401EY	52.74273	-3.88509
LL402YF	52.74602	-3.87856
LL413DL	52.99266	-3.93404
LL413ES	52.99445	-3.93533
LL413NE	52.99605	-3.94343
LL421HP	52.72306	-4.05812
LL421LU	52.72263	-4.05606
LL421PH	52.72407	-4.05779
LL462SB	52.83910	-4.12233
LL486BN	52.93049	-4.06736
LL499HW	52.93030	-4.13539
LL520RN	52.91899	-4.23741
LL520SH	52.92161	-4.26958
LL535DE	52.88889	-4.41743
LL536EB	52.93709	-4.52455
LL538RA	52.84954	-4.58586
LL545DF	53.01308	-4.30892
LL545SY	53.07914	-4.31407
LL546AB	53.05383	-4.25455
LL546LR	53.05345	-4.28359
LL546NN	53.05295	-4.28642
LL547BB	53.06972	-4.22825
LL547UW	53.11271	-4.26855
LL551AS	53.14109	-4.27364
LL551AX	53.16492	-4.20523
LL552BD	53.14041	-4.24970
LL552RB	53.13835	-4.27140
LL552YD	53.13640	-4.27081
LL571DT	53.22731	-4.12675
LL571DX	53.22766	-4.12512
LL571NR	53.22363	-4.13045
LL573AN	53.18028	-4.06275
LL573DP	53.18622	-4.06810
LL606LU	53.18812	-4.33146
LL615JB	53.22214	-4.20761
LL616AD	53.21847	-4.19160
LL777QX	53.25615	-4.31800
LL777SU	53.27003	-4.26413
LU14BP	51.85396	-0.43188
LU54AP	51.87847	-0.50555
LU54JD	51.89205	-0.52230
LU55ES	51.90498	-0.51937
LU55EY	51.90637	-0.51857
LU55FU	51.90122	-0.50934
LU55PY	51.91326	-0.50347
LU55RG	51.90918	-0.51248
LU56BN	51.95092	-0.53061
LU56BP	51.94892	-0.53166
LU56LE	51.96410	-0.49124
LU61HT	51.88714	-0.52432
LU62EX	51.86581	-0.61023
LU62QA	51.83100	-0.52085
LU62QG	51.83237	-0.51654
LU63HD	51.88446	-0.51945
LU71EQ	51.91870	-0.66063
LU71EZ	51.91765	-0.65756
LU71RX	51.91502	-0.65904
LU72AF	51.90859	-0.67402
LU73XS	51.91692	-0.63726
M251AY	53.53291	-2.28422
M251BP	53.53302	-2.28214
M261PN	53.55851	-2.32518
M261WD	53.55886	-2.32244
M261WR	53.55808	-2.32304
M263TE	53.56243	-2.34374
M263WD	53.56730	-2.34757
M263WQ	53.56182	-2.32812
ME195HE	51.30427	0.42113
ME196AG	51.28748	0.43957
ME196ND	51.29272	0.40773
ME196QR	51.29515	0.40883
ME196SD	51.29395	0.43320
ME206PN	51.29979	0.44216
ME206PT	51.30538	0.44351
ME206QW	51.29975	0.43941
ME65DA	51.32981	0.44303
ME65EE	51.32632	0.44095
MK196JZ	52.05425	-0.89348
MK401ED	52.13840	-0.47894
MK401RB	52.13466	-0.47210
MK401SQ	52.13507	-0.46706
